iter	Passed	Remaining
412	1814	2578
413	1818	2573
414	1822	2569
415	1826	2564
416	1830	2559
417	1834	2554
418	1839	2550
419	1843	2545
420	1846	2540
421	1851	2535
422	1855	2531
423	1859	2526
424	1863	2521
425	1867	2516
426	1871	2511
427	1875	2506
428	1879	2501
429	1883	2496
430	1887	2491
431	1891	2486
432	1895	2481
433	1899	2477
434	1903	2472
435	1907	2467
436	1911	2463
437	1916	2459
438	1921	2455
439	1925	2450
440	1929	2445
441	1933	2440
442	1937	2435
443	1941	2430
444	1945	2426
445	1949	2421
446	1953	2416
447	1957	2412
448	1961	2407
449	1965	2402
450	1969	2397
451	1973	2392
452	1978	2388
453	1982	2383
454	1985	2378
455	1990	2374
456	1994	2370
457	1999	2365
458	2003	2360
459	2007	2356
460	2011	2351
461	2014	2346
462	2018	2341
463	2023	2337
464	2027	2332
465	2031	2327
466	2035	2322
467	2039	2318
468	2043	2313
469	2047	2308
470	2051	2304
471	2055	2299
472	2059	2294
473	2063	2289
474	2067	2285
475	2072	2281
476	2076	2277
477	2081	2273
478	2085	2268
479	2089	2264
480	2093	2259
481	2097	2254
482	2101	2249
483	2105	2244
484	2109	2240
485	2113	2235
486	2117	2230
487	2121	2226
488	2125	2221
489	2129	2216
490	2133	2212
491	2138	2207
492	2142	2202
493	2146	2198
494	2150	2193
495	2154	2189
496	2158	2184
497	2162	2180
498	2167	2176
499	2171	2171
500	2175	2167
501	2179	2162
502	2183	2157
503	2187	2153
504	2191	2148
505	2195	2143
506	2199	2138
507	2202	2133
508	2206	2128
509	2210	2123
510	2214	2119
511	2218	2114
512	2222	2109
513	2225	2104
514	2229	2099
515	2233	2095
516	2237	2090
517	2241	2085
518	2244	2080
519	2248	2075
520	2252	2070
521	2255	2065
522	2260	2061
523	2266	2058
524	2271	2055
525	2277	2051
526	2283	2049
527	2288	2045
528	2292	2041
529	2300	2040
530	2305	2036
531	2310	2032
532	2316	2029
533	2320	2024
534	2325	2020
535	2329	2016
536	2334	2012
537	2339	2009
538	2344	2004
539	2348	2000
540	2352	1995
541	2356	1991
542	2361	1987
543	2365	1982
544	2369	1978
545	2374	1974
546	2378	1969
547	2383	1965
548	2388	1961
549	2392	1957
550	2396	1952
551	2400	1948
552	2405	1944
553	2409	1939
554	2413	1935
555	2418	1931
556	2423	1927
557	2428	1923
558	2432	1919
559	2437	1915
560	2442	1911
561	2446	1906
562	2451	1902
563	2455	1898
564	2459	1893
565	2464	1889
566	2469	1885
567	2474	1881
568	2478	1877
569	2482	1872
570	2486	1868
571	2490	1863
572	2494	1859
573	2499	1855
574	2503	1850
575	2507	1846
576	2512	1841
577	2516	1837
578	2520	1833
579	2525	1828
580	2529	1824
581	2533	1819
582	2538	1815
583	2542	1811
584	2547	1807
585	2551	1802
586	2555	1798
587	2559	1793
588	2564	1789
589	2568	1785
590	2572	1780
591	2577	1776
592	2581	1771
593	2586	1767
594	2590	1763
595	2595	1759
596	2599	1754
597	2603	1750
598	2608	1746
599	2612	1741
600	2616	1737
601	2620	1732
602	2625	1728
603	2629	1723
604	2633	1719
605	2638	1715
606	2643	1711
607	2647	1707
608	2651	1702
609	2656	1698
610	2660	1693
611	2664	1689
612	2668	1684
613	2671	1679
614	2675	1674
615	2679	1670
616	2683	1665
617	2687	1661
618	2691	1656
619	2695	1651
620	2698	1647
621	2703	1642
622	2706	1638
623	2710	1633
624	2714	1628
625	2718	1624
626	2722	1619
627	2726	1615
628	2729	1610
629	2733	1605
630	2737	1600
631	2741	1596
632	2744	1591
633	2748	1586
634	2752	1582
635	2756	1577
636	2759	1572
637	2763	1568
638	2767	1563
639	2771	1558
640	2774	1554
641	2778	1549
642	2782	1544
643	2785	1540
644	2789	1535
645	2793	1530
646	2797	1526
647	2800	1521
648	2804	1516
649	2808	1512
650	2811	1507
651	2815	1502
652	2819	1498
653	2823	1493
654	2826	1488
655	2829	1484
656	2833	1479
657	2837	1474
658	2840	1470
659	2844	1465
660	2848	1460
661	2852	1456
662	2856	1451
663	2860	1447
664	2864	1442
665	2868	1438
666	2871	1433
667	2875	1429
668	2879	1424
669	2883	1420
670	2887	1415
671	2891	1411
672	2895	1406
673	2899	1402
674	2903	1397
675	2907	1393
676	2911	1388
677	2915	1384
678	2919	1380
679	2923	1375
680	2927	1371
681	2931	1367
682	2935	1362
683	2939	1358
684	2943	1353
685	2947	1348
686	2950	1344
687	2954	1339
688	2958	1335
689	2962	1331
690	2966	1326
691	2970	1322
692	2974	1317
693	2977	1313
694	2981	1308
695	2985	1303
696	2989	1299
697	2993	1295
698	2997	1290
699	3001	1286
700	3005	1281
701	3008	1277
702	3013	1273
703	3017	1268
704	3022	1264
705	3026	1260
706	3030	1255
707	3034	1251
708	3038	1247
709	3042	1242
710	3045	1238
711	3050	1233
712	3054	1229
713	3058	1225
714	3062	1220
715	3067	1216
716	3071	1212
717	3075	1208
718	3079	1203
719	3083	1199
720	3087	1194
721	3091	1190
722	3095	1186
723	3099	1181
724	3103	1177
725	3107	1172
726	3111	1168
727	3115	1163
728	3119	1159
729	3122	1155
730	3127	1150
731	3131	1146
732	3135	1141
733	3139	1137
734	3143	1133
735	3146	1128
736	3150	1124
737	3154	1119
738	3158	1115
739	3162	1111
740	3165	1106
741	3169	1102
742	3173	1097
743	3177	1093
744	3181	1089
745	3185	1084
746	3189	1080
747	3193	1075
748	3197	1071
749	3200	1066
750	3205	1062
751	3208	1058
752	3212	1053
753	3216	1049
754	3220	1044
755	3223	1040
756	3227	1036
757	3231	1031
758	3235	1027
759	3239	1022
760	3243	1018
761	3247	1014
762	3251	1009
763	3254	1005
764	3258	1000
765	3262	996
766	3266	992
767	3269	987
768	3273	983
769	3277	979
770	3281	974
771	3285	970
772	3288	965
773	3292	961
774	3296	956
775	3300	952
776	3303	948
777	3307	943
778	3311	939
779	3315	935
780	3318	930
781	3322	926
782	3327	922
783	3330	917
784	3334	913
785	3338	909
786	3342	904
787	3346	900
788	3350	895
789	3353	891
790	3357	887
791	3361	882
792	3365	878
793	3368	873
794	3372	869
795	3376	865
796	3380	860
797	3383	856
798	3387	852
799	3391	847
800	3395	843
801	3398	839
802	3402	834
803	3407	830
804	3411	826
805	3414	821
806	3418	817
807	3422	813
808	3426	808
809	3429	804
810	3433	800
811	3437	795
812	3440	791
813	3444	787
814	3448	782
815	3452	778
816	3455	774
817	3459	769
818	3463	765
819	3467	761
820	3471	756
821	3474	752
822	3478	748
823	3482	743
824	3485	739
825	3489	735
826	3493	730
827	3497	726
828	3501	722
829	3505	717
830	3509	713
831	3512	709
832	3516	705
833	3520	700
834	3524	696
835	3528	692
836	3531	687
837	3535	683
838	3539	679
839	3543	675
840	3547	670
841	3551	666
842	3555	662
843	3559	657
844	3563	653
845	3567	649
846	3570	645
847	3574	640
848	3578	636
849	3582	632
850	3586	627
851	3590	623
852	3594	619
853	3598	615
854	3602	610
855	3606	606
856	3610	602
857	3614	598
858	3618	593
859	3623	589
860	3627	585
861	3631	581
862	3636	577
863	3640	573
864	3644	568
865	3649	564
866	3654	560
867	3659	556
868	3663	552
869	3668	548
870	3673	544
871	3677	539
872	3682	535
873	3687	531
874	3691	527
875	3696	523
876	3700	519
877	3705	514
878	3709	510
879	3713	506
880	3718	502
881	3722	498
882	3727	493
883	3731	489
884	3735	485
885	3740	481
886	3744	477
887	3749	472
888	3753	468
889	3757	464
890	3761	460
891	3766	456
892	3770	451
893	3774	447
894	3779	443
895	3783	439
896	3788	434
897	3792	430
898	3796	426
899	3801	422
900	3805	418
901	3810	413
902	3814	409
903	3818	405
904	3823	401
905	3827	397
906	3832	392
907	3837	388
908	3843	384
909	3849	380
910	3854	376
911	3858	372
912	3862	368
913	3867	363
914	3871	359
915	3877	355
916	3881	351
917	3885	347
918	3889	342
919	3893	338
920	3897	334
921	3902	330
922	3906	325
923	3910	321
924	3914	317
925	3918	313
926	3922	308
927	3926	304
928	3930	300
929	3933	296
930	3937	291
931	3941	287
932	3945	283
933	3949	279
934	3953	274
935	3957	270
936	3961	266
937	3965	262
938	3968	257
939	3972	253
940	3976	249
941	3980	245
942	3985	240
943	3994	236
944	4001	232
945	4006	228
946	4010	224
947	4014	220
948	4019	216
949	4023	211
950	4027	207
951	4031	203
952	4035	199
953	4039	194
954	4043	190
955	4047	186
956	4052	182
957	4056	177
958	4060	173
959	4064	169
960	4067	165
961	4071	160
962	4075	156
963	4079	152
964	4083	148
965	4087	143
966	4091	139
967	4095	135
968	4099	131
969	4103	126
970	4107	122
971	4111	118
972	4115	114
973	4119	109
974	4123	105
975	4127	101
976	4130	97
977	4134	93
978	4138	88
979	4142	84
980	4146	80
981	4150	76
982	4153	71
983	4157	67
984	4160	63
985	4164	59
986	4168	54
987	4172	50
988	4176	46
989	4179	42
990	4183	37
991	4187	33
992	4191	29
993	4195	25
994	4198	21
995	4202	16
996	4206	12
997	4209	8
998	4213	4
999	4217	0
